Local,Frequência
estado,49
deputado,31
república,12
amazonas,9
câmara,5
parlamento,5
governador,5
ausentes,3
união,3
federais,3
roraima,3
país,3
maranhão,3
fortaleza,3
presidente,3
encruzilhada,2
povo,2
nordeste,2
trabalhador,2
nacional,2
pará,2
gerais,2
pregando,2
ceará,2
vejam,2
janeiro,2
presidente estado,2
mineiro,2
plenário,1
públicas,1
deputado felip barni terceira,1
fazenda,1
debate,1
federativa,1
imparcial,1
impitma,1
ministro,1
progressista,1
império,1
editorial,1
rouba,1
central,1
obrigado,1
cantar,1
érica,1
esperanç,1
continuará,1
jundiaí,1
vocês,1
total jonathas,1
total buzato,1
feliz,1
faro,1
amado,1
constituição,1
c,1
aplausos,1
total prz senhor presidente medo,1
mandato,1
sao,1
oeste,1
progresso,1
deputado olímpio,1
santista,1
consultei,1
carrego,1
deputado filho,1
refinaria,1
duque,1
justiça,1
novo,1
aquio,1
jandira,1
terra,1
campo grande moro vendedores,1
voltaremos,1
presidente voto,1
cidade velha senhor presidente voto impit,1
alegre,1
estado espírito,1
piauienses,1
potiguar,1
norte,1
agricultor,1
deputado lincol prb senhor presidente,1
boa,1
claros,1
trabalhadores,1
orgulho,1
lagoinhas,1
prb senhor,1
país senhor presidente senhor presidente,1
deputado senhor presidente senhor presidente,1
rombo presidente,1
pernambuco,1
fazem manifestações,1
estádio coutin voto,1
pernambucana,1
grandes,1
estado menor,1
valadares,1
deputado azula estado,1
